Date,Generated,Efficiency
6/12/2024,412.855kWh,3.669822222
6/11/2024,217.940kWh,1.937244444
6/10/2024,273.827kWh,2.434017778
6/9/2024,278.398kWh,2.474648889
6/8/2024,355.223kWh,3.157537778
6/7/2024,388.819kWh,3.456168889
6/6/2024,179.736kWh,1.597653333
6/5/2024,520.830kWh,4.6296
6/4/2024,494.988kWh,4.399893333
6/3/2024,542.219kWh,4.819724444
6/2/2024,473.999kWh,4.213324444
6/1/2024,549.466kWh,4.884142222
5/31/2024,150.601kWh,1.338675556
5/28/2024,57.450kWh,0.510666667
5/27/2024,210.262kWh,1.868995556
5/26/2024,518.985kWh,4.6132
5/25/2024,490.631kWh,4.361164444
5/24/2024,568.705kWh,5.055155556
5/23/2024,405.305kWh,3.602711111
5/22/2024,520.954kWh,4.630702222
5/21/2024,439.387kWh,3.905662222
5/20/2024,521.782kWh,4.638062222
5/19/2024,539.159kWh,4.792524444
5/18/2024,358.457kWh,3.186284444
5/17/2024,423.223kWh,3.761982222
5/16/2024,260.514kWh,2.31568
5/15/2024,140.146kWh,1.245742222
5/14/2024,528.674kWh,4.699324444
5/13/2024,433.855kWh,3.856488889
5/12/2024,187.699kWh,1.668435556
5/11/2024,351.857kWh,3.127617778
5/10/2024,251.598kWh,2.236426667
5/9/2024,333.688kWh,2.966115556
5/8/2024,171.779kWh,1.526924444
5/7/2024,550.381kWh,4.892275556
5/6/2024,382.866kWh,3.403253333
5/5/2024,85.558kWh,0.760515556
5/4/2024,304.609kWh,2.707635556
5/3/2024,455.052kWh,4.044906667
5/2/2024,546.310kWh,4.856088889
